DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN
2004-01-01,,-0.7,1.1,0.55,3.6,0.5
2004-01-02,3888.0,-7.5,0.9,0.44,3.1,0.0
2004-01-03,2074.0,-6.8,-0.5,0.45,1.8,0.0
2004-01-04,1814.0,-3.6,5.9,0.66,3.2,2.5
2004-01-05,1469.0,3.0,5.7,0.78,2.3,1.3
2004-01-06,259.0,4.0,9.0,0.92,4.1,4.4
2004-01-07,950.0,2.7,8.1,0.93,2.5,0.1
2004-01-08,1728.0,3.7,6.6,0.83,5.1,3.7
2004-01-09,778.0,3.7,7.2,0.89,3.1,3.9
2004-01-10,2333.0,2.4,8.2,0.85,2.7,0.0
2004-01-11,691.0,4.3,11.9,1.06,5.7,11.3
2004-01-12,864.0,4.0,6.4,0.83,4.1,4.0
2004-01-13,1469.0,5.0,9.7,0.91,7.2,13.4
2004-01-14,1210.0,1.4,6.7,0.79,4.9,11.1
2004-01-15,2678.0,2.2,6.1,0.79,4.3,1.6
2004-01-16,778.0,4.9,6.8,0.86,7.8,14.2
2004-01-17,864.0,3.6,5.9,0.81,5.8,2.1
2004-01-18,4320.0,-0.3,5.0,0.62,2.8,0.0
2004-01-19,518.0,1.8,9.0,0.9,5.3,23.0
2004-01-20,3370.0,-1.2,9.1,0.71,1.8,1.2
2004-01-21,5098.0,0.0,3.4,0.53,1.7,0.0
2004-01-22,864.0,0.0,3.0,0.55,3.3,0.1
2004-01-23,3888.0,0.9,5.6,0.59,2.8,0.0
2004-01-24,691.0,0.4,5.2,0.65,2.7,2.9
2004-01-25,3456.0,-0.8,6.9,0.7,1.3,0.0
2004-01-26,1642.0,-3.1,2.4,0.62,2.0,0.0
2004-01-27,2765.0,-2.1,2.4,0.6,1.6,1.2
2004-01-28,3197.0,-1.1,4.5,0.62,3.7,4.7
2004-01-29,3370.0,-2.4,2.8,0.61,4.6,5.0
2004-01-30,2765.0,0.3,3.9,0.59,5.0,0.0
2004-01-31,605.0,1.9,11.6,0.9,8.2,10.1
2004-02-01,4234.0,8.7,12.2,1.15,7.8,7.9
2004-02-02,605.0,9.1,11.9,1.2,6.3,11.1
2004-02-03,3110.0,9.5,15.1,1.2,5.2,0.0
2004-02-04,1814.0,11.2,15.8,1.2,5.6,1.0
2004-02-05,1210.0,10.8,15.1,1.31,5.7,7.9
2004-02-06,1382.0,9.3,12.9,1.23,5.3,8.0
2004-02-07,2246.0,3.8,10.0,0.87,8.0,9.2
2004-02-08,4320.0,0.8,6.0,0.69,7.0,11.4
2004-02-09,3888.0,0.5,5.2,0.67,3.6,0.8
2004-02-10,2419.0,-0.2,8.0,0.71,4.5,10.0
2004-02-11,1987.0,2.8,8.2,0.89,2.9,2.3
2004-02-12,3197.0,1.0,6.7,0.79,1.4,0.0
2004-02-13,2246.0,6.3,9.2,0.962,1.5,0.0
2004-02-14,3283.0,5.2,9.2,0.91,1.7,0.0
2004-02-15,3370.0,3.2,10.4,0.87,0.8,0.0
2004-02-16,2419.0,-0.6,3.9,0.67,1.1,0.0
2004-02-17,2851.0,1.4,6.4,0.77,1.8,0.3
2004-02-18,5443.0,1.3,8.1,0.78,2.6,5.8
2004-02-19,6394.0,-0.8,4.2,0.53,3.6,0.0
2004-02-20,10195.0,-2.2,4.6,0.44,4.4,0.0
2004-02-21,4061.0,-2.6,2.5,0.5,2.2,0.0
2004-02-22,5789.0,-2.7,6.7,0.58,2.5,0.0
2004-02-23,9504.0,-3.6,6.3,0.52,2.0,0.1
2004-02-24,6134.0,-3.0,5.9,0.28,3.5,4.5
2004-02-25,6912.0,-3.6,4.1,0.58,3.2,3.1
2004-02-26,7258.0,-2.4,3.7,0.58,4.6,8.7
2004-02-27,3456.0,-4.7,1.0,0.52,2.4,0.0
2004-02-28,11059.0,-6.2,4.2,0.47,0.9,0.0
2004-02-29,9158.0,-6.5,4.6,0.49,1.9,0.0
2004-03-01,10109.0,-6.0,5.4,0.31,1.9,0.0
2004-03-02,8208.0,-1.4,8.5,0.66,2.7,0.0
2004-03-03,6221.0,-2.0,7.8,0.62,1.7,0.0
2004-03-04,8122.0,0.6,10.6,0.58,3.8,0.0
2004-03-05,6826.0,1.1,7.9,0.56,3.7,0.2
2004-03-06,3802.0,-0.7,4.2,0.62,2.0,1.8
2004-03-07,7171.0,-0.8,8.4,0.71,1.8,1.6
